interaction,user_id,week,timestamp,topic,question_id,question_topic,difficulty,time_spent_s,avg_time_all_users_s,correct
1,user_careless,1,2026-01-01 22:53:21,Calculus,Q7361,Differential Equations,3,181,166,1
2,user_careless,1,2026-01-02 03:40:34,Calculus,Q6790,Differential Equations,4,234,246,1
3,user_careless,1,2026-01-02 15:23:07,Calculus,Q9835,Differential Equations,4,212,245,0
4,user_careless,1,2026-01-03 10:16:06,Calculus,Q3717,Differential Equations,4,138,230,0
5,user_careless,1,2026-01-03 16:55:00,Calculus,Q6324,Differential Equations,4,51,149,0
6,user_careless,1,2026-01-04 11:56:35,Calculus,Q7535,Differential Equations,5,171,190,1
7,user_careless,1,2026-01-04 12:38:26,Calculus,Q1946,Differential Equations,3,107,140,0
8,user_careless,1,2026-01-04 19:01:31,Calculus,Q5655,Differential Equations,2,61,157,0
9,user_careless,1,2026-01-05 04:23:15,Calculus,Q5159,Differential Equations,3,341,247,0
10,user_careless,1,2026-01-06 05:12:57,Calculus,Q7904,Differential Equations,4,238,259,0
11,user_careless,1,2026-01-06 10:56:28,Calculus,Q9842,Differential Equations,4,161,148,0
12,user_careless,1,2026-01-06 21:37:21,Calculus,Q2972,Differential Equations,3,66,170,0
13,user_careless,1,2026-01-07 03:44:31,Calculus,Q8248,Differential Equations,4,54,229,0
14,user_careless,1,2026-01-07 07:53:47,Calculus,Q2454,Differential Equations,4,302,230,1
15,user_careless,1,2026-01-07 14:51:17,Calculus,Q8591,Differential Equations,3,237,201,1
16,user_careless,1,2026-01-07 16:38:18,Calculus,Q4115,Differential Equations,4,226,174,0
17,user_careless,1,2026-01-07 16:53:09,Calculus,Q2216,Differential Equations,2,179,180,1
18,user_careless,1,2026-01-07 17:50:15,Calculus,Q7753,Differential Equations,5,123,233,0
19,user_careless,2,2026-01-08 05:05:54,Calculus,Q1094,Differential Equations,5,160,169,0
20,user_careless,2,2026-01-08 09:49:01,Calculus,Q5803,Differential Equations,5,263,232,0
21,user_careless,2,2026-01-08 18:26:25,Calculus,Q8709,Differential Equations,5,71,183,0
22,user_careless,2,2026-01-08 19:03:06,Calculus,Q3293,Differential Equations,2,173,155,1
