interaction,user_id,week,timestamp,topic,question_id,question_topic,difficulty,time_spent_s,avg_time_all_users_s,correct
1,user_progressive,1,2026-01-02 11:33:06,Calculus,Q50666,Improper Integrals,3,180.37,144,1
2,user_progressive,1,2026-01-02 13:00:42,Calculus,Q12646,Improper Integrals,3,118.89,92,0
3,user_progressive,1,2026-01-02 19:46:49,Calculus,Q88357,Improper Integrals,5,108.17,134,1
4,user_progressive,1,2026-01-03 06:44:35,Calculus,Q52190,Improper Integrals,4,97.76,90,1
5,user_progressive,1,2026-01-03 20:00:49,Calculus,Q30394,Improper Integrals,3,130.47,100,0
6,user_progressive,1,2026-01-03 20:20:41,Calculus,Q10685,Improper Integrals,4,90.39,104,1
7,user_progressive,1,2026-01-04 03:23:48,Calculus,Q54460,Improper Integrals,5,220.65,188,0
8,user_progressive,1,2026-01-04 09:23:33,Calculus,Q41077,Improper Integrals,5,151.58,177,1
9,user_progressive,1,2026-01-04 22:30:18,Calculus,Q55107,Improper Integrals,5,85.56,111,0
10,user_progressive,1,2026-01-05 12:53:57,Calculus,Q66579,Improper Integrals,5,116.57,92,1
11,user_progressive,1,2026-01-06 04:00:34,Calculus,Q47494,Improper Integrals,4,169.29,156,1
12,user_progressive,1,2026-01-06 18:34:44,Calculus,Q30029,Improper Integrals,5,195.32,187,1
13,user_progressive,1,2026-01-07 00:17:54,Calculus,Q78998,Improper Integrals,3,164.45,119,1
14,user_progressive,1,2026-01-07 06:53:45,Calculus,Q17014,Improper Integrals,3,98.77,104,1
15,user_progressive,1,2026-01-07 10:37:50,Calculus,Q75384,Improper Integrals,3,178.88,171,0
16,user_progressive,1,2026-01-07 17:43:15,Calculus,Q17453,Improper Integrals,4,174.85,161,1
17,user_progressive,2,2026-01-09 19:48:58,Calculus,Q94851,Improper Integrals,5,229.21,169,1
18,user_progressive,2,2026-01-09 23:29:53,Calculus,Q46859,Improper Integrals,4,79,113,0
19,user_progressive,2,2026-01-10 05:00:06,Calculus,Q21930,Improper Integrals,3,191.28,196,1
20,user_progressive,2,2026-01-10 07:54:58,Calculus,Q26974,Improper Integrals,3,214.59,184,1
21,user_progressive,2,2026-01-10 09:10:11,Calculus,Q86795,Improper Integrals,4,77.33,113,0
22,user_progressive,2,2026-01-10 12:41:30,Calculus,Q91935,Improper Integrals,3,108.03,96,0
23,user_progressive,2,2026-01-10 17:24:22,Calculus,Q94353,Improper Integrals,4,102.91,115,1
24,user_progressive,2,2026-01-11 00:38:09,Calculus,Q84256,Improper Integrals,3,125.59,98,0
25,user_progressive,2,2026-01-12 22:25:39,Calculus,Q88245,Improper Integrals,4,271.46,207,1
26,user_progressive,2,2026-01-13 04:44:01,Calculus,Q50412,Improper Integrals,4,230.83,190,1
27,user_progressive,2,2026-01-13 05:36:43,Calculus,Q63310,Improper Integrals,3,133.91,120,1
28,user_progressive,2,2026-01-13 07:33:37,Calculus,Q43484,Improper Integrals,3,173.2,163,1
29,user_progressive,2,2026-01-13 10:11:05,Calculus,Q15313,Improper Integrals,4,205.41,170,0
30,user_progressive,2,2026-01-14 03:35:49,Calculus,Q58050,Improper Integrals,4,156.77,125,1
31,user_progressive,2,2026-01-15 00:02:55,Calculus,Q77310,Improper Integrals,4,192.89,199,0
32,user_progressive,2,2026-01-15 07:15:00,Calculus,Q83475,Improper Integrals,3,183.38,164,1
